file_name,nodes,edges,cycles,potential-fence-placements,ilp-min-fences,ilp-solve-time,alns-1,alns-2,alns-3
programs/random-2-10-2-depth-4/random-2-10-2-0.msgpack,89,1600,79066,107,23,12.349,(27 0.265) (24 6.263) (23 17.471),(27 0.278) (24 3.936) (23 5.114),(27 0.283) (24 3.871) (23 19.094)
programs/random-2-10-2-depth-4/random-2-10-2-1.msgpack,82,1033,53161,92,19,5.900,(21 0.140) (20 0.822) (19 7.201),(21 0.142) (19 0.894),(21 0.150) (20 0.868) (19 1.053)
programs/random-2-10-2-depth-4/random-2-10-2-2.msgpack,84,1280,156907,99,21,46.507,(23 0.575) (21 6.842),(23 0.613) (22 8.289) (21 17.021),(23 0.581) (21 2.504)
programs/random-2-10-2-depth-4/random-2-10-2-3.msgpack,106,1655,501640,122,26,397.035,(38 2.223) (36 4.945) (32 7.216) (31 9.642) (29 14.068) (28 16.417) (27 29.708) (26 41.364),(38 2.202) (28 18.158) (26 31.704),(38 2.194) (28 11.655) (26 125.623)
programs/random-2-10-2-depth-4/random-2-10-2-4.msgpack,58,662,5494,64,13,0.289,(17 0.009) (13 0.232),(17 0.008) (13 0.206),(17 0.008) (13 0.276)
programs/random-2-10-2-depth-4/random-2-10-2-5.msgpack,40,260,356,37,8,0.039,(8 0.000),(8 0.000),(8 0.000)
programs/random-2-10-2-depth-4/random-2-10-2-6.msgpack,71,1044,22395,86,15,1.610,(20 0.049) (15 1.341),(20 0.048) (19 0.112) (15 1.108),(20 0.062) (15 0.771)
programs/random-2-10-2-depth-4/random-2-10-2-7.msgpack,110,2049,301200,131,29,95.152,(38 1.050) (29 53.854),(38 1.016) (32 7.290) (30 14.818) (29 36.124),(38 1.069) (29 45.329)
programs/random-2-10-2-depth-4/random-2-10-2-8.msgpack,51,512,4900,55,14,0.291,(17 0.009) (14 0.304),(17 0.009) (14 0.180),(17 0.009) (15 0.048) (14 0.348)
programs/random-2-10-2-depth-4/random-2-10-2-9.msgpack,65,833,15031,76,13,1.249,(16 0.038) (13 0.661),(16 0.036) (13 0.470),(16 0.036) (13 0.489)
programs/random-2-10-2-depth-4/random-2-10-2-10.msgpack,57,382,841,53,15,0.075,(20 0.001) (15 0.072),(20 0.002) (18 0.057) (15 0.130),(20 0.002) (18 0.034) (17 0.083) (15 0.164)
programs/random-2-10-2-depth-4/random-2-10-2-11.msgpack,90,1506,108791,103,25,21.172,(32 0.375) (28 1.230) (27 2.409) (25 10.333),(32 0.382) (26 2.075) (25 38.890),(32 0.393) (31 0.778) (26 2.913) (25 11.091)
programs/random-2-10-2-depth-4/random-2-10-2-12.msgpack,63,660,10524,70,11,0.871,(21 0.025) (14 0.114) (11 0.583),(21 0.025) (20 0.069) (19 0.113) (12 0.283) (11 0.695)
programs/random-2-10-2-depth-4/random-2-10-2-13.msgpack,91,1421,40880,94,18,4.609,(21 0.122) (18 1.142),(21 0.125) (19 0.915) (18 5.538),(21 0.128) (19 0.892) (18 4.226)
programs/random-2-10-2-depth-4/random-2-10-2-14.msgpack,49,512,4430,51,11,0.252,(13 0.007) (11 0.191),(13 0.007) (11 0.170),(13 0.007) (11 0.164)
programs/random-2-10-2-depth-4/random-2-10-2-15.msgpack,81,1186,38028,89,17,3.893,(22 0.103) (17 0.941),(22 0.110) (19 0.684) (18 0.820) (17 1.545),(22 0.105) (21 0.218) (19 0.879) (17 4.436)
programs/random-2-10-2-depth-4/random-2-10-2-16.msgpack,65,723,18253,70,13,1.643,(13 0.047),(13 0.049),(13 0.048)
programs/random-2-10-2-depth-4/random-2-10-2-17.msgpack,40,348,736,40,9,0.052,(12 0.001) (9 0.113),(12 0.001) (11 0.067) (9 0.168),(12 0.001) (11 0.069) (10 0.099) (9 0.143)
programs/random-2-10-2-depth-4/random-2-10-2-18.msgpack,68,784,4964,71,15,0.299,(18 0.009) (16 0.313) (15 0.579),(18 0.009) (16 0.082) (15 0.551),(18 0.009) (15 0.276)
programs/random-2-10-2-depth-4/random-2-10-2-19.msgpack,61,793,8986,60,13,0.576,(16 0.018) (13 0.363),(16 0.018) (15 0.091) (13 0.792),(16 0.018) (15 0.067) (13 0.414)
programs/random-2-10-2-depth-4/random-2-10-2-20.msgpack,60,445,12447,69,10,1.228,(16 0.039) (10 0.473),(16 0.041) (14 0.097) (10 1.050),(16 0.042) (10 0.397)
programs/random-2-10-2-depth-4/random-2-10-2-21.msgpack,83,1318,179817,105,22,51.556,(25 0.650) (22 37.980),(25 0.635) (24 1.245) (22 29.281),(25 0.637) (24 1.228) (23 5.427) (22 29.286)
programs/random-2-10-2-depth-4/random-2-10-2-22.msgpack,111,2122,182942,122,26,44.238,(31 0.595) (30 1.248) (26 3.824),(31 0.593) (28 3.446) (27 7.325) (26 39.660),(31 0.598) (27 6.089) (26 32.467)
programs/random-2-10-2-depth-4/random-2-10-2-23.msgpack,64,725,13273,71,16,1.060,(19 0.034) (17 0.401) (16 1.106),(19 0.034) (17 0.338) (16 1.459),(19 0.034) (17 0.348) (16 0.691)
programs/random-2-10-2-depth-4/random-2-10-2-24.msgpack,54,368,3596,56,12,0.297,(17 0.011) (13 0.202) (12 0.494),(17 0.009) (13 0.192) (12 0.295),(17 0.009) (12 0.227)
programs/random-2-10-2-depth-4/random-2-10-2-25.msgpack,95,1794,159683,106,23,35.292,(29 0.508) (23 9.067),(29 0.540) (28 1.040) (27 2.759) (23 36.248),(29 0.521) (23 34.267)
programs/random-2-10-2-depth-4/random-2-10-2-26.msgpack,45,302,2568,51,8,0.193,(10 0.006) (9 0.033) (8 0.128),(10 0.006) (9 0.168) (8 0.323),(10 0.006) (8 0.205)
programs/random-2-10-2-depth-4/random-2-10-2-27.msgpack,53,332,722,49,6,0.062,(7 0.001) (6 0.054),(7 0.001) (6 0.053),(7 0.001) (6 0.062)
programs/random-2-10-2-depth-4/random-2-10-2-28.msgpack,65,618,14844,73,15,1.078,(20 0.033) (16 0.359) (15 0.725),(20 0.033) (16 0.569) (15 1.652),(20 0.032) (18 0.086) (15 0.472)
programs/random-2-10-2-depth-4/random-2-10-2-29.msgpack,71,869,8886,66,14,0.680,(15 0.021) (14 0.665),(15 0.021) (14 0.235),(15 0.021) (14 0.468),
programs/random-2-10-2-depth-4/random-2-10-2-30.msgpack,125,2673,2432676,159,oom,oom,oom,oom,oom
programs/random-2-10-2-depth-4/random-2-10-2-31.msgpack,75,1074,36370,81,14,3.620,(18 0.094) (17 0.185) (16 1.714) (14 3.253),(18 0.093) (14 2.749),(18 0.097) (14 2.641)
programs/random-2-10-2-depth-4/random-2-10-2-32.msgpack,71,819,72174,92,20,10.860,(27 0.225) (24 0.442) (23 0.720) (20 3.080),(27 0.227) (21 2.268) (20 7.380),(27 0.233) (21 0.462) (20 3.870)
programs/random-2-10-2-depth-4/random-2-10-2-33.msgpack,79,1161,19239,94,17,1.344,(19 0.048) (18 0.583) (17 1.881),(19 0.042) (18 0.509) (17 2.007),(19 0.041) (18 0.517) (17 5.018)
programs/random-2-10-2-depth-4/random-2-10-2-34.msgpack,97,1440,165924,113,22,36.192,(41 0.479) (22 18.860),(41 0.610) (39 1.275) (23 5.130) (22 38.939),(41 0.519) (29 1.757) (25 3.644) (24 4.646) (22 34.772)
programs/random-2-10-2-depth-4/random-2-10-2-35.msgpack,48,343,1602,51,7,0.108,(8 0.003) (7 0.034),(8 0.003) (7 0.078),(8 0.003) (7 0.086)
programs/random-2-10-2-depth-4/random-2-10-2-36.msgpack,53,580,1972,56,12,0.117,(14 0.003) (12 0.092),(14 0.003) (12 0.240),(14 0.003) (12 0.064)
programs/random-2-10-2-depth-4/random-2-10-2-37.msgpack,96,1346,67301,100,21,12.351,(34 0.260) (22 2.097) (21 14.660),(34 0.312) (23 0.800) (21 1.937),(34 0.274) (32 0.569) (27 0.833) (22 1.553) (21 12.619)
programs/random-2-10-2-depth-4/random-2-10-2-38.msgpack,86,1258,116578,98,21,25.365,(27 0.444) (22 5.832) (21 15.084),(27 0.419) (21 9.778),(27 0.430) (26 0.827) (25 1.687) (22 5.672) (21 13.606)
programs/random-2-10-2-depth-4/random-2-10-2-39.msgpack,78,1189,21704,78,16,1.975,(19 0.058) (16 0.975),(19 0.060) (17 0.816) (16 2.017),(19 0.057) (17 0.800) (16 1.606)
programs/random-2-10-2-depth-4/random-2-10-2-40.msgpack,93,1471,79787,98,22,13.929,(30 0.251) (23 4.281) (22 11.003),(30 0.256) (23 2.189) (22 8.530),(30 0.251) (23 2.267) (22 20.696)
programs/random-2-10-2-depth-4/random-2-10-2-41.msgpack,35,206,524,36,9,0.058,(10 0.001) (9 0.039),(10 0.001) (9 0.036),(10 0.001) (9 0.040)
programs/random-2-10-2-depth-4/random-2-10-2-42.msgpack,45,405,3883,49,12,0.251,(16 0.007) (15 0.095) (13 0.175) (12 0.309),(16 0.007) (12 0.229),(16 0.009) (12 0.275)
programs/random-2-10-2-depth-4/random-2-10-2-43.msgpack,90,1367,39639,101,20,4.191,(26 0.106) (25 0.231) (23 0.363) (21 0.693) (20 3.901),(26 0.105) (20 2.620),(26 0.112) (22 0.802) (20 3.847)
programs/random-2-10-2-depth-4/random-2-10-2-44.msgpack,73,1028,33502,90,16,3.594,(23 0.098) (16 0.587),(23 0.095) (21 0.298) (17 2.189) (16 3.877),(23 0.092) (16 0.776)
programs/random-2-10-2-depth-4/random-2-10-2-45.msgpack,63,587,1972,60,8,0.154,(9 0.004) (8 0.155),(9 0.004) (8 0.111),(9 0.004) (8 0.533)
programs/random-2-10-2-depth-4/random-2-10-2-46.msgpack,52,412,1842,58,6,0.137,(6 0.004),(6 0.004),(6 0.004)
programs/random-2-10-2-depth-4/random-2-10-2-47.msgpack,40,303,2735,46,9,0.190,(10 0.005) (9 0.226),(10 0.005) (9 0.212),(10 0.006) (9 0.108)
