file_name,nodes,edges,cycles,potential-fence-placements,ilp-min-fences,ilp-solve-time,ilp-incumbent,alns-1,alns-2,alns-3,alns-4,alns-5
programs/random-2-10-2-depth-4/random-2-10-2-0.msgpack,89,1600,79066,107,23,1.745,(25.0 1.118) (23.0 1.720),(27 0.269) (24 1.100) (23 1.746),(27 0.275) (24 1.154) (23 1.588),(27 0.260) (24 0.901) (23 2.312),(27 0.259) (24 1.167) (23 2.094),(27 0.259) (24 1.141) (23 2.018)
programs/random-2-10-2-depth-4/random-2-10-2-1.msgpack,82,1033,53161,92,19,0.974,(19.0 0.710),(21 0.143) (20 0.467) (19 3.450),(21 0.145) (19 1.138),(21 0.147) (19 1.138),(21 0.150) (19 1.271),(21 0.147) (19 0.955)
programs/random-2-10-2-depth-4/random-2-10-2-2.msgpack,84,1280,156907,99,21,4.536,(21.0 2.514),(23 0.583) (21 2.135),(23 0.605) (21 1.863),(23 0.578) (21 3.910),(23 0.583) (21 2.685),(23 0.581) (22 2.449) (21 4.872)
programs/random-2-10-2-depth-4/random-2-10-2-3.msgpack,106,1655,501640,122,26,16.385,(28.0 8.601) (26.0 16.192),(38 2.254) (36 5.002) (27 14.727) (26 16.475),(38 2.217) (36 4.968) (35 7.270) (28 12.253) (27 15.735) (26 17.649),(38 2.185) (28 5.969) (26 15.471),(38 2.247) (26 16.612),(38 2.318) (36 4.661) (27 19.563) (26 21.435)
programs/random-2-10-2-depth-4/random-2-10-2-4.msgpack,58,662,5494,64,13,0.070,(15.0 0.060) (13.0 0.069),(17 0.009) (14 0.056) (13 0.124),(17 0.009) (14 0.050) (13 0.126),(17 0.009) (13 0.064),(17 0.009) (16 0.026) (13 0.077),(17 0.009) (13 0.080)
programs/random-2-10-2-depth-4/random-2-10-2-5.msgpack,40,260,356,37,8,0.007,(8.0 0.006),(8 0.000),(8 0.000),(8 0.000),(8 0.000),(8 0.001)
programs/random-2-10-2-depth-4/random-2-10-2-6.msgpack,71,1044,22395,86,15,0.322,(17.0 0.267) (15.0 0.316),(20 0.046) (15 0.289),(20 0.048) (15 0.302),(20 0.050) (15 0.304),(20 0.048) (15 0.303),(20 0.050) (15 0.402)
programs/random-2-10-2-depth-4/random-2-10-2-7.msgpack,110,2049,301200,131,29,7.736,(31.0 4.509) (29.0 7.638),(38 1.047) (34 2.140) (33 3.338) (30 5.947) (29 8.557),(38 1.104) (32 4.269) (30 6.315) (29 20.807),(38 1.019) (29 4.241),(38 1.003) (29 8.139),(38 1.019) (32 3.975) (31 4.977) (30 5.948) (29 9.026)
programs/random-2-10-2-depth-4/random-2-10-2-8.msgpack,51,512,4900,55,14,0.070,(15.0 0.058) (14.0 0.068),(17 0.009) (14 0.056),(17 0.009) (14 0.070),(17 0.009) (14 0.074),(17 0.009) (14 0.055),(17 0.009) (15 0.077) (14 0.143)
programs/random-2-10-2-depth-4/random-2-10-2-9.msgpack,65,833,15031,76,13,0.241,(13.0 0.195),(16 0.037) (15 0.066) (13 0.215),(16 0.037) (13 0.249),(16 0.037) (13 0.135),(16 0.038) (13 0.157),(16 0.037) (13 0.165)
programs/random-2-10-2-depth-4/random-2-10-2-10.msgpack,57,382,841,53,15,0.015,(15.0 0.013),(20 0.002) (17 0.007) (16 0.055) (15 0.066),(20 0.002) (15 0.016),(20 0.002) (18 0.009) (15 0.022),(20 0.002) (15 0.014),(20 0.002) (16 0.008) (15 0.016)
programs/random-2-10-2-depth-4/random-2-10-2-11.msgpack,90,1506,108791,103,25,2.588,(26.0 1.603) (25.0 2.551),(32 0.399) (27 1.062) (25 2.030),(32 0.378) (26 1.208) (25 6.577),(32 0.386) (26 1.228) (25 4.500),(32 0.393) (30 0.754) (29 1.087) (25 2.282),(32 0.383) (27 1.377) (26 2.373) (25 3.352)
programs/random-2-10-2-depth-4/random-2-10-2-12.msgpack,63,660,10524,70,11,0.157,(11.0 0.128),(21 0.026) (20 0.049) (13 0.087) (11 0.240),(21 0.026) (17 0.047) (12 0.176) (11 0.255),(21 0.026) (14 0.065) (11 0.169),(21 0.026) (13 0.073) (12 0.194) (11 0.243),(21 0.026) (19 0.047) (13 0.091) (11 0.208)
programs/random-2-10-2-depth-4/random-2-10-2-13.msgpack,91,1421,40880,94,18,0.867,(18.0 0.583),(21 0.124) (19 0.402) (18 0.704),(21 0.125) (19 0.414) (18 1.410),(21 0.140) (19 0.340) (18 0.855),(21 0.125) (19 0.417) (18 0.812),(21 0.124) (18 0.541)
programs/random-2-10-2-depth-4/random-2-10-2-14.msgpack,49,512,4430,51,11,0.063,(11.0 0.055),(13 0.007) (11 0.058),(13 0.007) (11 0.054),(13 0.007) (11 0.054),(13 0.007) (12 0.015) (11 0.098),(13 0.007) (11 0.063)
programs/random-2-10-2-depth-4/random-2-10-2-15.msgpack,81,1186,38028,89,17,0.814,(19.0 0.519) (17.0 0.801),(22 0.107) (19 0.326) (18 0.406) (17 1.254),(22 0.107) (17 0.441),(22 0.113) (18 0.374) (17 0.617),(22 0.107) (19 0.350) (17 1.497),(22 0.109) (17 0.447)
programs/random-2-10-2-depth-4/random-2-10-2-16.msgpack,65,723,18253,70,13,0.304,(14.0 0.247) (13.0 0.294),(13 0.048),(13 0.050),(13 0.049),(13 0.049),(13 0.048)
programs/random-2-10-2-depth-4/random-2-10-2-17.msgpack,40,348,736,40,9,0.011,(9.0 0.009),(12 0.001) (9 0.012),(12 0.001) (11 0.010) (10 0.014) (9 0.025),(12 0.001) (10 0.011) (9 0.020),(12 0.001) (9 0.011),(12 0.001) (9 0.013)
programs/random-2-10-2-depth-4/random-2-10-2-18.msgpack,68,784,4964,71,15,0.068,(16.0 0.056) (15.0 0.066),(18 0.009) (15 0.089),(18 0.009) (16 0.040) (15 0.094),(18 0.009) (16 0.032) (15 0.099),(18 0.009) (16 0.038) (15 0.125),(18 0.009) (15 0.071)
programs/random-2-10-2-depth-4/random-2-10-2-19.msgpack,61,793,8986,60,13,0.123,(13.0 0.105),(16 0.018) (13 0.101),(16 0.018) (13 0.125),(16 0.018) (13 0.094),(16 0.018) (13 0.106),(16 0.018) (13 0.101)
programs/random-2-10-2-depth-4/random-2-10-2-20.msgpack,60,445,12447,69,10,0.263,(10.0 0.179),(16 0.040) (10 0.148),(16 0.039) (10 0.138),(16 0.040) (15 0.069) (10 0.252),(16 0.040) (11 0.158) (10 0.308),(16 0.040) (10 0.190)
programs/random-2-10-2-depth-4/random-2-10-2-21.msgpack,83,1318,179817,105,22,4.630,(22.0 2.771),(25 0.635) (23 2.072) (22 2.416),(25 0.633) (23 1.766) (22 10.153),(25 0.623) (23 1.779) (22 3.506),(25 0.626) (23 2.064) (22 3.311),(25 0.630) (24 1.200) (23 2.628) (22 16.025) 
programs/random-2-10-2-depth-4/random-2-10-2-22.msgpack,111,2122,182942,122,26,4.418,(26.0 2.620),(31 0.597) (27 3.414) (26 5.705),(31 0.586) (28 1.705) (26 4.402),(31 0.597) (28 2.058) (27 3.245) (26 3.768),(31 0.596) (28 2.013) (27 3.215) (26 8.678),(31 0.610) (27 3.838) (26 11.160)
programs/random-2-10-2-depth-4/random-2-10-2-23.msgpack,64,725,13273,71,16,0.206,(17.0 0.168) (16.0 0.202),(19 0.034) (17 0.126) (16 0.376),(19 0.034) (17 0.128) (16 0.241),(19 0.034) (16 0.151),(19 0.034) (17 0.196) (16 0.314),(19 0.034) (17 0.137) (16 0.353)
programs/random-2-10-2-depth-4/random-2-10-2-24.msgpack,54,368,3596,56,12,0.060,(13.0 0.051) (12.0 0.059),(17 0.009) (12 0.030),(17 0.009) (12 0.027),(17 0.014) (16 0.024) (13 0.048) (12 0.113),(17 0.009) (15 0.020) (13 0.058) (12 0.096),(17 0.009) (13 0.045) (12 0.116)
programs/random-2-10-2-depth-4/random-2-10-2-25.msgpack,95,1794,159683,106,23,3.684,(23.0 2.286),(29 0.511) (27 0.981) (23 2.543),(29 0.518) (28 1.011) (27 1.449) (25 1.866) (23 3.442),(29 0.489) (23 0.884),(29 0.520) (23 4.206),(29 0.552) (23 2.634)
programs/random-2-10-2-depth-4/random-2-10-2-26.msgpack,45,302,2568,51,8,0.039,(8.0 0.033),(10 0.006) (8 0.048),(10 0.006) (9 0.052) (8 0.175),(10 0.006) (8 0.028),(10 0.006) (8 0.049),(10 0.006) (9 0.012) (8 0.049)
programs/random-2-10-2-depth-4/random-2-10-2-27.msgpack,53,332,722,49,6,0.012,(9.0 0.010) (6.0 0.012),(7 0.001) (6 0.012),(7 0.001) (6 0.014),(7 0.001) (6 0.014),(7 0.001) (6 0.008),(7 0.001) (6 0.012)
programs/random-2-10-2-depth-4/random-2-10-2-28.msgpack,65,618,14844,73,15,0.222,(15.0 0.182),(20 0.033) (15 0.157),(20 0.034) (15 0.217),(20 0.033) (19 0.062) (17 0.109) (15 0.353),(20 0.033) (15 0.118),(20 0.034) (19 0.063) (16 0.169) (15 0.625)
programs/random-2-10-2-depth-4/random-2-10-2-29.msgpack,71,869,8886,66,14,0.137,(14.0 0.115),(15 0.023) (14 0.105),(15 0.021) (14 0.038),(15 0.021) (14 0.039),(15 0.021) (14 0.052),(15 0.021) (14 0.145)
programs/random-2-10-2-depth-4/random-2-10-2-30.msgpack,125,2673,2432676,159,35,79.071,(41.0 42.696) (35.0 77.917),(52 11.311) (41 44.134) (39 56.762) (36 83.670) (35 139.618),(52 11.231) (48 25.920) (39 45.743) (35 110.950),(52 11.244) (37 42.133) (35 58.654),(52 11.052) (37 24.405) (35 63.700),(52 11.158) (50 28.166) (42 42.417) (35 53.253)
programs/random-2-10-2-depth-4/random-2-10-2-31.msgpack,75,1074,36370,81,14,0.657,(15.0 0.458) (14.0 0.647),(18 0.095) (17 0.183) (16 0.701) (14 1.364),(18 0.095) (16 0.402) (15 0.463) (14 1.118),(18 0.093) (16 0.397) (15 0.463) (14 0.970),(18 0.095) (14 0.787),(18 0.092) (16 0.455) (14 0.769)
programs/random-2-10-2-depth-4/random-2-10-2-32.msgpack,71,819,72174,92,20,1.557,(21.0 1.012) (20.0 1.534),(27 0.228) (21 0.790) (20 3.040),(27 0.219) (25 0.399) (21 1.106) (20 1.950),(27 0.221) (21 1.069) (20 1.855),(27 0.274) (21 0.833) (20 1.127),(27 0.230) (25 0.445) (21 1.003) (20 4.769)
programs/random-2-10-2-depth-4/random-2-10-2-33.msgpack,79,1161,19239,94,17,0.275,(17.0 0.228),(19 0.041) (18 0.181) (17 0.612),(19 0.042) (18 0.212) (17 0.404),(19 0.041) (18 0.184) (17 0.400),(19 0.042) (18 0.229) (17 0.560),(19 0.043) (18 0.078) (17 0.396)
programs/random-2-10-2-depth-4/random-2-10-2-34.msgpack,97,1440,165924,113,22,3.538,(22.0 2.267),(41 0.476) (29 1.303) (22 4.022),(41 0.476) (29 1.282) (25 2.246) (23 3.107) (22 6.480),(41 0.509) (34 0.997) (22 3.630),(41 0.497) (37 0.982) (28 1.992) (22 3.540),(41 0.496) (29 1.317) (23 3.697) (22 4.397)
programs/random-2-10-2-depth-4/random-2-10-2-35.msgpack,48,343,1602,51,7,0.026,(9.0 0.020) (7.0 0.025),(8 0.003) (7 0.019),(8 0.003) (7 0.018),(8 0.003) (7 0.020),(8 0.003) (7 0.021),(8 0.003) (7 0.018)
programs/random-2-10-2-depth-4/random-2-10-2-36.msgpack,53,580,1972,56,12,0.027,(14.0 0.023) (12.0 0.026),(14 0.003) (12 0.021),(14 0.003) (12 0.009),(14 0.003) (12 0.017),(14 0.003) (12 0.026),(14 0.003) (13 0.029) (12 0.040)
programs/random-2-10-2-depth-4/random-2-10-2-37.msgpack,96,1346,67301,100,21,1.704,(24.0 1.061) (21.0 1.680),(34 0.255) (21 0.925),(34 0.240) (24 0.584) (22 1.052) (21 2.727),(34 0.242) (33 0.515) (22 1.172) (21 1.818),(34 0.243) (30 0.476) (27 0.683) (23 1.528) (22 1.722) (21 2.204),(34 0.252) (21 1.142)
programs/random-2-10-2-depth-4/random-2-10-2-38.msgpack,86,1258,116578,98,21,2.845,(22.0 1.733) (21.0 2.804),(27 0.411) (22 1.211) (21 2.149),(27 0.455) (21 3.153),(27 0.415) (22 1.195) (21 2.242),(27 0.438) (22 2.163) (21 2.940),(27 0.425) (22 1.429) (21 2.392)
programs/random-2-10-2-depth-4/random-2-10-2-39.msgpack,78,1189,21704,78,16,0.396,(16.0 0.299),(19 0.067) (18 0.116) (17 0.445) (16 0.650),(19 0.056) (17 0.354) (16 0.556),(19 0.056) (17 0.303) (16 0.518),(19 0.057) (17 0.274) (16 0.473),(19 0.057) (16 0.422)
programs/random-2-10-2-depth-4/random-2-10-2-40.msgpack,93,1471,79787,98,22,1.694,(23.0 1.110) (22.0 1.667),(30 0.246) (23 0.871) (22 4.352),(30 0.243) (23 0.950) (22 1.256),(30 0.241) (23 0.550) (22 0.765),(30 0.258) (23 0.968) (22 1.439),(30 0.246) (25 0.648) (22 1.903)
programs/random-2-10-2-depth-4/random-2-10-2-41.msgpack,35,206,524,36,9,0.009,(9.0 0.008),(10 0.001) (9 0.005),(10 0.001) (9 0.008),(10 0.001) (9 0.007),(10 0.001) (9 0.006),(10 0.001) (9 0.007)
programs/random-2-10-2-depth-4/random-2-10-2-42.msgpack,45,405,3883,49,12,0.050,(12.0 0.042),(16 0.006) (13 0.041) (12 0.046),(16 0.006) (13 0.036) (12 0.078),(16 0.006) (12 0.035),(16 0.006) (13 0.036) (12 0.113),(16 0.006) (13 0.037) (12 0.057)
programs/random-2-10-2-depth-4/random-2-10-2-43.msgpack,90,1367,39639,101,20,0.749,(20.0 0.534),(26 0.101) (20 0.239),(26 0.103) (22 0.345) (20 0.913),(26 0.101) (22 0.361) (21 1.075) (20 1.799),(26 0.103) (22 0.379) (21 0.771) (20 1.401),(26 0.100) (25 0.196) (20 0.588)   
programs/random-2-10-2-depth-4/random-2-10-2-44.msgpack,73,1028,33502,90,16,0.680,(17.0 0.458) (16.0 0.669),(23 0.094) (22 0.171) (20 0.243) (18 0.360) (16 0.927),(23 0.092) (19 0.397) (18 0.779) (16 1.632),(23 0.091) (19 0.389) (18 0.466) (16 1.104),(23 0.091) (21 0.175) (16 0.325),(23 0.094) (17 0.333) (16 0.876)
programs/random-2-10-2-depth-4/random-2-10-2-45.msgpack,63,587,1972,60,8,0.031,(9.0 0.026) (8.0 0.031),(9 0.004) (8 0.022),(9 0.004) (8 0.027),(9 0.004) (8 0.037),(9 0.004) (8 0.016),(9 0.004) (8 0.026)
programs/random-2-10-2-depth-4/random-2-10-2-46.msgpack,52,412,1842,58,6,0.029,(7.0 0.024) (6.0 0.028),(6 0.004),(6 0.004),(6 0.004),(6 0.004),(6 0.004)
programs/random-2-10-2-depth-4/random-2-10-2-47.msgpack,40,303,2735,46,9,0.038,(12.0 0.033) (9.0 0.038),(10 0.005) (9 0.028),(10 0.005) (9 0.028),(10 0.005) (9 0.028),(10 0.005) (9 0.022),(10 0.005) (9 0.028)
programs/random-2-10-2-depth-4/random-2-10-2-48.msgpack,58,623,7187,63,15,0.099,(16.0 0.086) (15.0 0.097),(20 0.014) (16 0.067) (15 0.150),(20 0.014) (19 0.041) (15 0.131),(20 0.016) (19 0.034) (16 0.127) (15 0.205),(20 0.014) (16 0.100) (15 0.113),(20 0.015) (16 0.067) (15 0.157)   
programs/random-2-10-2-depth-4/random-2-10-2-49.msgpack,36,250,416,37,9,0.008,(9.0 0.007),(9 0.001),(9 0.001),(9 0.001),(9 0.001),(9 0.001)
programs/random-2-10-2-depth-4/random-2-10-2-50.msgpack,46,271,626,45,6,0.011,(8.0 0.009) (6.0 0.010),(6 0.001),(6 0.001),(6 0.001),(6 0.001),(6 0.001)
