file_name,nodes,edges,cycles,potential-fence-placements,ilp-min-fences,ilp-solve-time,ilp-incumbent,alns-1,alns-2,alns-3,alns-4,alns-5
programs/random-2-10-2-depth-4/random-2-10-2-0.msgpack,89,1600,79066,107,23,1.745,(25.0 1.118) (23.0 1.720),(26 1.278) (23 2.997),(24 1.303) (23 4.011),(26 1.310) (25 2.235) (24 2.718) (23 5.414),(24 1.327) (23 3.852),(26 1.317) (23 3.114)
programs/random-2-10-2-depth-4/random-2-10-2-1.msgpack,82,1033,53161,92,19,0.974,(19.0 0.710),(19 0.829),(19 0.797),(19 0.819),(19 0.809),(19 0.828)
programs/random-2-10-2-depth-4/random-2-10-2-2.msgpack,84,1280,156907,99,21,4.536,(21.0 2.514),(21 2.845),(21 2.802),(21 2.793),(21 2.857),(21 2.851)
programs/random-2-10-2-depth-4/random-2-10-2-3.msgpack,106,1655,501640,122,26,16.385,(28.0 8.601) (26.0 16.192),(28 10.598) (26 27.843),(28 11.096) (26 23.821),(28 11.370) (26 38.821),(28 10.984) (26 32.252),(28 10.454) (26 21.716)
programs/random-2-10-2-depth-4/random-2-10-2-4.msgpack,58,662,5494,64,13,0.070,(15.0 0.060) (13.0 0.069),(15 0.065) (13 0.130),(15 0.065) (13 0.176),(15 0.063) (14 0.221) (13 0.337),(15 0.064) (13 0.124),(15 0.062) (13 0.180)
programs/random-2-10-2-depth-4/random-2-10-2-5.msgpack,40,260,356,37,8,0.007,(8.0 0.006),(8 0.007),(8 0.007),(8 0.006),(8 0.007),(8 0.006)
programs/random-2-10-2-depth-4/random-2-10-2-6.msgpack,71,1044,22395,86,15,0.322,(17.0 0.267) (15.0 0.316),(16 0.314) (15 0.851),(16 0.338) (15 1.006),(16 0.326) (15 0.788),(15 0.314),(16 0.314) (15 1.115)
programs/random-2-10-2-depth-4/random-2-10-2-7.msgpack,110,2049,301200,131,29,7.736,(31.0 4.509) (29.0 7.638),(31 5.418) (30 10.042) (29 14.577),(31 5.264) (29 13.898),(31 5.196) (29 17.078),(31 5.362) (30 10.824) (29 15.053),(31 5.458) (29 14.572)
programs/random-2-10-2-depth-4/random-2-10-2-8.msgpack,51,512,4900,55,14,0.070,(15.0 0.058) (14.0 0.068),(14 0.062),(14 0.066),(14 0.063),(15 0.064) (14 0.135),(14 0.063)
programs/random-2-10-2-depth-4/random-2-10-2-9.msgpack,65,833,15031,76,13,0.241,(13.0 0.195),(14 0.232) (13 0.915),(13 0.217),(13 0.217),(14 0.217) (13 0.568),(13 0.215)
